"","Date","Team","Acquired","Relinquished","Notes"
"1275","2012-02-09","Nuggets","","Timofey Mozgov","sprained left ankle (DNP) (Fox)"
"1280","2012-02-10","Hornets","","Chris Kaman","sprained left ankle (DTD)"
"1281","2012-02-10","Hornets","","Jarrett Jack","sore left knee (CBC Fox) / ankle (DNP)"
"1285","2012-02-10","Nets","","Keith Bogans","fractured left ankle / torn ligament in left ankle (DNP)"
"1294","2012-02-11","Nuggets","","Danilo Gallinari","sprained left ankle (DNP)"
"1295","2012-02-11","Pacers","","George Hill","chip fracture in left ankle / sprained left ankle (DNP) (Fox P)"
"1310","2012-02-14","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1312","2012-02-14","Pacers","","George Hill","sprained left ankle (DNP)"
"1318","2012-02-15","Grizzlies","","Sam Young","sprained right ankle (DNP)"
"1326","2012-02-15","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (F P)"
"1328","2012-02-15","Pacers","","Danny Granger","sprained left ankle (DNP)"
"1329","2012-02-15","Pacers","","George Hill","sprained left ankle (DNP)"
"1335","2012-02-16","Pacers","","George Hill","sprained left ankle (DNP)"
"1338","2012-02-17","Cavaliers","","Daniel Gibson","sprained left ankle (DNP) (P)"
"1343","2012-02-17","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1346","2012-02-18","Grizzlies","","Sam Young","sprained right ankle (DNP)"
"1350","2012-02-19","Cavaliers","","Daniel Gibson","sprained left ankle (DNP) (P)"
"1356","2012-02-19","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1358","2012-02-19","Pacers","","George Hill","sprained left ankle (DNP)"
"1369","2012-02-20","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (F P)"
"1371","2012-02-20","Thunder","","James Harden","sprained left ankle (DNP)"
"1379","2012-02-21","Pacers","","George Hill","sprained left ankle (DNP)"
"1398","2012-02-22","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (F P)"
"1400","2012-02-22","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"1408","2012-02-23","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1410","2012-02-23","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"1432","2012-02-29","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1444","2012-03-02","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1460","2012-03-04","Nuggets","","Danilo Gallinari","sprained left ankle (DNP) (P)"
"1465","2012-03-05","Bulls","","C.J. Watson","left ankle injury (DNP)"
"1473","2012-03-06","Mavericks","","Brendan Haywood","sprained left ankle (DNP)"
"1474","2012-03-06","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1480","2012-03-07","Bulls","","C.J. Watson","sprained left ankle (DNP)"
"1492","2012-03-07","Nets","","Brook Lopez","sprained right ankle (DNP) (P)"
"1494","2012-03-07","Nuggets","","Timofey Mozgov","sprained left ankle (DTD)"
"1496","2012-03-08","Bulls","","C.J. Watson","sore left ankle (DNP)"
"1498","2012-03-08","Mavericks","","Brendan Haywood","sprained left ankle (DNP)"
"1507","2012-03-09","Mavericks","","Brendan Haywood","sprained left ankle (DNP)"
"1508","2012-03-09","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1520","2012-03-10","Mavericks","","Brendan Haywood","sprained left ankle (DNP)"
"1522","2012-03-10","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1530","2012-03-11","Bucks","","Shaun Livingston","sprained left ankle (DNP)"
"1537","2012-03-12","Bucks","","Shaun Livingston","sprained left ankle (DNP)"
"1544","2012-03-12","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1556","2012-03-13","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"1557","2012-03-14","Bucks","","Shaun Livingston","sprained right ankle (DNP)"
"1564","2012-03-14","Nets","","Brook Lopez","sprained right ankle (DNP) (F P)"
"1569","2012-03-14","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"1581","2012-03-16","Kings","","Tyreke Evans","sprained left ankle (DNP)"
