"","Date","Team","Acquired","Relinquished","Notes"
"7411","2016-04-05","Suns","","Jon Leuer","sprained right ankle (DTD)"
"7480","2016-04-11","Suns","","Archie Goodwin","sprained left ankle (DTD)"
"7483","2016-04-12","Heat","","Justise Winslow","sprained left ankle (DTD)"
"7533","2016-04-16","Warriors","","Stephen Curry","sprained right ankle (DTD)"
"7564","2016-05-07","Raptors","","Jonas Valanciunas","sprained right ankle (DTD)"
"7571","2016-06-08","Jazz","","Alec Burks","arthroscopic surgery on left knee and ankle to remove loose bodies (out indefinitely)"
"7585","2016-09-26","Timberwolves","","Nikola Pekovic","sore right ankle (out for season)"
"7590","2016-10-04","Bulls","","Denzel Valentine","sprained ankle (DTD)"
"7599","2016-10-12","Pelicans","","Anthony Davis","sprained ankle (DTD)"
"7606","2016-10-15","Clippers","","Alan Anderson","ankle injury (DTD)"
"7607","2016-10-15","Grizzlies","","Marc Gasol","sore right ankle (DTD)"
"7609","2016-10-15","Heat","","Okaro White","sprained left ankle (DTD)"
"7618","2016-10-20","Celtics","","Marcus Smart","sprained left ankle (DTD)"
"7626","2016-10-24","Blazers","","Shabazz Napier","sore ankle (DTD)"
"7630","2016-10-24","Clippers","","Paul Pierce","sprained ankle (DTD)"
"7631","2016-10-24","Grizzlies","","Brandan Wright","sore ankle (DTD)"
"7662","2016-10-26","Raptors","","Lucas Nogueira","sore/sprained left ankle (DTD)"
"7668","2016-10-28","Knicks","","Ron Baker","sore ankle (DTD)"
"7674","2016-10-29","Nets","","Greivis Vasquez","sore right ankle (DTD)"
"7676","2016-10-29","Warriors","","Patrick McCaw","sore left ankle (DTD)"
"7685","2016-11-01","Jazz","","Alec Burks","arthrosopic surgery on left ankle (out indefinitely)"
"7687","2016-11-01","Nuggets","","Will Barton","sore/sprained left ankle (DTD)"
"7689","2016-11-02","Celtics","","Jae Crowder","sprained left ankle (DTD)"
"7721","2016-11-11","Heat","","Goran Dragic","sprained left ankle (DTD)"
"7727","2016-11-12","Knicks","","Lance Thomas","sore left ankle (DTD)"
"7730","2016-11-13","Nuggets","","Gary Harris","sprained right ankle (DTD)"
"7733","2016-11-14","Bulls","","Rajon Rondo","sore/sprained left ankle (DTD)"
"7738","2016-11-15","Bulls","","Rajon Rondo","sprained left ankle (DTD)"
"7748","2016-11-16","Grizzlies","","Brandan Wright","arthroscopic surgery on left ankle (out indefinitely)"
"7769","2016-11-18","Lakers","","Ivica Zubac","ankle injury (DTD)"
"7782","2016-11-21","Pacers","","Myles Turner","sprained right ankle (DTD)"
"7789","2016-11-21","Hornets","","Christian Wood","sprained right ankle (DTD)"
"7808","2016-11-24","Nuggets","","Juan Hernangomez","sprained right ankle (DTD)"
"7818","2016-11-25","Nets","","Rondae Hollis-Jefferson","sore right ankle (DTD)"
"7819","2016-11-25","Nuggets","","Juan Hernangomez","sore/sprained right ankle (DTD)"
"7821","2016-11-25","Pacers","","Paul George","sore back / left ankle (DTD)"
"7827","2016-11-26","Warriors","","Draymond Green","bruised left ankle (DTD)"
"7837","2016-11-27","Nuggets","","Will Barton","rehab of left ankle (DTD)"
"7849","2016-11-29","Pistons","","Henry Ellenson","sprained right ankle (DTD)"
"7851","2016-11-30","Heat","","Josh Richardson","sore/sprained right ankle (DTD)"
"7854","2016-11-30","Knicks","","Courtney Lee","sprained left ankle (DTD)"
"7867","2016-12-02","76ers","","Robert Covington","sprained left ankle (DTD)"
"7894","2016-12-05","Grizzlies","","Brandan Wright","left ankle injury (DTD)"
"7899","2016-12-06","Lakers","","Tarik Black","sprained right ankle (DTD)"
"7902","2016-12-07","Heat","","Rodney McGruder","sore ankle (DTD)"
"7941","2016-12-14","76ers","","Nerlens Noel","sprained left ankle (DTD)"
"7973","2016-12-17","Lakers","","Tarik Black","sore right ankle (DTD)"
"7986","2016-12-19","Heat","","Rodney McGruder","sprained left ankle (DTD)"
"7991","2016-12-20","Blazers","","Evan Turner","sprained left ankle (DTD)"
"8014","2016-12-23","Lakers","","Tarik Black","sprained right ankle (DTD)"
"8015","2016-12-24","Hornets","","Marco Belinelli","sprained left ankle (DTD)"
"8040","2016-12-28","Wizards","","Bradley Beal","right ankle injury (DTD)"
"8048","2016-12-30","76ers","","Sergio Rodriguez","sprained left ankle (DTD)"
"8059","2016-12-30","Knicks","","Maurice N'dour","sprained right ankle (DTD)"
"8062","2016-12-31","Cavaliers","","Mike Dunleavy Jr.","sprained right ankle (DTD)"
"8070","2017-01-01","Pistons","","Aron Baynes","sprained left ankle (DTD)"
"8080","2017-01-03","Bulls","","Denzel Valentine","sore/sprained left ankle (DTD)"
"8142","2017-01-11","Celtics","","Amir Johnson","sprained left ankle (DTD)"
"8144","2017-01-11","Celtics","","Jaylen Brown","sprained right ankle (DTD)"
"8162","2017-01-13","Spurs","","Dejounte Murray","sprained right ankle (DTD)"
"8169","2017-01-15","Hawks","","Mike Muscala","sore/sprained left ankle (DTD)"
"8171","2017-01-16","76ers","","Nerlens Noel","sprained left ankle (DTD)"
"8177","2017-01-16","Nuggets","","Gary Harris","sprained right ankle (DTD)"
"8181","2017-01-17","Blazers","","Ed Davis ","sprained left ankle (DTD)"
"8192","2017-01-18","Kings","","Ty Lawson","sprained left ankle (DTD)"
"8198","2017-01-19","Nuggets","","Danilo Gallinari","sprained right ankle (DTD)"
"8214","2017-01-21","Blazers","","Ed Davis ","sprained left ankle (DTD)"
"8221","2017-01-21","Nets","","Joe Harris","sprained left ankle (DTD)"
"8226","2017-01-22","Raptors","","DeMar DeRozan","sprained right ankle (DTD)"
"8228","2017-01-22","Suns","","Dragan Bender","sore right ankle (DTD)"
"8237","2017-01-24","Magic","","D.J. Augustine","sprained right ankle (DTD)"
"8244","2017-01-25","Blazers","","Ed Davis ","sprained wrist / left ankle injury (DTD)"
"8246","2017-01-25","Blazers","","Tim Quarterman","sprained left ankle (DTD)"
"8260","2017-01-27","Heat","","Hassan Whiteside","ankle injury (DTD)"
"8261","2017-01-27","Magic","","C.J. Wilcox","left ankle / Achilles tendinitis (DTD)"
"8276","2017-01-28","Knicks","","Derrick Rose","sprained left ankle (DTD)"
"8297","2017-01-31","Nuggets","","Will Barton","sore left ankle (DTD)"
"8298","2017-01-31","Pelicans","","Tyreke Evans","left ankle injury (DTD)"
"8311","2017-02-02","Pacers","","Rodney Stuckey","sprained right ankle (DTD)"
"8346","2017-02-06","Nets","","Quincy Acy","sprained left ankle (DTD)"
"8350","2017-02-07","Pelicans","","Tyreke Evans","sprained left ankle (DTD)"
"8355","2017-02-08","Cavaliers","","Iman Shumpert","sprained left ankle (DTD)"
"8358","2017-02-08","Heat","","Dion Waiters","sprained left ankle (DTD)"
"8363","2017-02-08","Suns","","Dragan Bender","surgery on right ankle to remove bone spur (out indefinitely)"
"8364","2017-02-08","Nuggets","","Kenneth Faried","sprained right ankle (DTD)"
"8367","2017-02-09","Bulls","","Paul Zipser","left ankle tendinitis (DTD)"
"8406","2017-02-15","Spurs","","Manu Ginobili","left ankle impingement (DTD)"
"8407","2017-02-15","Timberwolves","","Lance Stephenson","sprained left ankle (DTD)"
"8409","2017-02-16","Bulls","","Paul Zipser","left ankle tendinitis (DTD)"
"8415","2017-02-23","Knicks","","Kristaps Porzingis","sprained right ankle (DTD)"
"8419","2017-02-23","Pistons","","Beno Udrih","ankle injury (DTD)"
"8428","2017-02-26","Heat","","Willie Reed","bursitis in right ankle / strained calf (DTD)"
"8437","2017-03-01","Knicks","","Maurice N'dour","sprained right ankle (out indefinitely)"
"8473","2017-03-08","Raptors","","DeMarre Carroll","sprained left ankle (DTD)"
"8479","2017-03-09","Hornets","","Johnny O'Bryant III","sprained right ankle (out for season)"
"8480","2017-03-09","Nets","","Brook Lopez","sprained right ankle (DTD)"
"8495","2017-03-11","Raptors","","DeMarre Carroll","sore left ankle (DTD)"
"8515","2017-03-13","Kings","","Tyreke Evans","sore left ankle (DTD)"
"8532","2017-03-15","Timberwolves","","Lance Stephenson","sprained left ankle (DTD)"
"8533","2017-03-15","Timberwolves","","Nemanja Bjelica","left ankle / foot injury (out for season)"
"8554","2017-03-18","Heat","","Dion Waiters","sprained left ankle (out for season)"
"8556","2017-03-18","Kings","","Tyreke Evans","ankle injury (DTD)"
"8566","2017-03-19","Pistons","","Michael Gbinije","sprained left ankle (DTD)"
"8576","2017-03-21","Nets","","Jeremy Lin","ankle injury (DTD)"
"8604","2017-03-25","Rockets","","Ryan Anderson","sprained right ankle (DTD)"
"8610","2017-03-26","Pelicans","","DeMarcus Cousins","sprained right ankle (DTD)"
"8619","2017-03-27","Pacers","","Al Jefferson","sprained left ankle (DTD)"
"8630","2017-03-29","Nets","","Quincy Acy","ankle injury (DTD)"
"8643","2017-03-31","Lakers","","Ivica Zubac","sprained right ankle (out for season)"
"8703","2017-04-08","Pacers","","Al Jefferson","sprained left ankle (out for season)"
"8705","2017-04-08","Pelicans","","E'Twaun Moore","sprained left ankle (out for season)"
"8715","2017-04-09","Jazz","","Raul Neto","sprained left ankle (DTD)"
"8721","2017-04-09","Nets","","Quincy Acy","sore left ankle (out for season)"
"8726","2017-04-09","Warriors","","Matt Barnes","sprained right ankle, foot (DTD)"
"8734","2017-04-10","Nuggets","","Emmanuel Mudiay","sore/sprained right ankle (out for season)"
"8738","2017-04-10","Warriors","","Matt Barnes","sprained right ankle, foot (DTD)"
"8808","2017-04-22","Lakers","","Timofey Mozgov","sore ankle (DTD)"
"8823","2017-05-05","Raptors","","Kyle Lowry","sprained left ankle (DTD)"
"8828","2017-05-14","Spurs","","Kawhi Leonard","sprained left ankle (DTD)"
"8829","2017-05-17","Bulls","","Denzel Valentine","arthroscopic surgery on left ankle (out indefinitely)"
"8834","2017-05-22","Spurs","","Kawhi Leonard","sprained left ankle (out for season)"
"8851","2017-09-30","Pacers","","Glenn Robinson III","high ankle sprain (DTD)"
"8868","2017-10-14","Pacers","","Glenn Robinson III","surgery on left ankle (out indefinitely)"
"8871","2017-10-17","Celtics","","Gordon Hayward","fractured tibia in left leg and dislocated left ankle (out for season)"
"8872","2017-10-17","Kings","","Bogdan Bogdanovic","sprained right ankle (DTD)"
"8876","2017-10-18","Celtics","","Gordon Hayward","surgery on left ankle/leg to repair fractured tibia and dislocated ankle (out for season)"
"8880","2017-10-19","Grizzlies","","JaMychal Green","sprained left ankle (DTD)"
"8883","2017-10-20","Cavaliers","","Derrick Rose","sprained left ankle (DTD)"
"8888","2017-10-21","Raptors","","Jonas Valanciunas","sore/sprained left ankle (DTD)"
"8890","2017-10-23","Bucks","","Malcolm Brogdon","sprained left ankle (DTD)"
"8895","2017-10-24","Spurs","","Joffrey Lauvergne","sprained right ankle (DTD)"
"8898","2017-10-25","Blazers","","Meyers Leonard","sore/sprained right ankle (DTD)"
"8901","2017-10-25","Raptors","","Lucas Nogueira","sprained left ankle (DTD)"
"8908","2017-10-27","Spurs","","Joffrey Lauvergne","sprained right ankle (DTD)"
"8926","2017-11-01","Pistons","","Jon Leuer","sprained left ankle (DTD)"
"8932","2017-11-03","Hawks","","Malcolm Delaney","sprained right ankle (DTD)"
"8936","2017-11-04","Bulls","","David Nwaba","sprained right ankle (DTD)"
"8938","2017-11-04","Hawks","","Mike Muscala","sprained left ankle (DTD)"
"8939","2017-11-04","Pacers","","T.J. Leaf","sprained left ankle (DTD)"
"8950","2017-11-10","76ers","","Nik Stauskas","sprained right ankle (DTD)"
"8959","2017-11-11","Timberwolves","","Cole Aldrich","sprained left ankle (DTD)"
"8962","2017-11-12","Magic","","Jonathan Isaac","sprained right ankle (DTD)"
"8964","2017-11-12","Rockets","","Nene Hilario ","sore ankle (DTD)"
"8966","2017-11-13","Magic","","Jonathan Isaac","sprained right ankle (DTD)"
"8972","2017-11-15","Magic","","Jonathan Isaac","sprained right ankle (DTD)"
"8986","2017-11-18","Hawks","","Mike Muscala","sprained left ankle (DTD)"
"8989","2017-11-19","Warriors","","Kevin Durant","sprained left ankle (DTD)"
"9001","2017-11-22","Nets","","Trevor Booker","sprained left ankle (DTD)"
"9028","2017-11-28","Jazz","","Rodney Hood","sore left ankle (DTD)"
"9033","2017-11-29","Knicks","","Kristaps Porzingis","sore ankle (DTD)"
"9040","2017-11-30","Nuggets","","Nikola Jokic","sprained left ankle (DTD)"
"9051","2017-12-02","Suns","","Alex Len","ankle injury (DTD)"
"9063","2017-12-05","Warriors","","Stephen Curry","sprained right ankle (DTD)"
"9073","2017-12-07","Hornets","","Frank Kaminsky","sprained right ankle (DTD)"
"9075","2017-12-07","Magic","","Evan Fournier","sprained right ankle (DTD)"
"9078","2017-12-07","Jazz","","Rodney Hood","sore left ankle (DTD)"
"9079","2017-12-08","Blazers","","Jusuf Nurkic","sprained right ankle (DTD)"
"9098","2017-12-10","Pelicans","","Jameer Nelson","left ankle injury (DTD)"
"9129","2017-12-15","Nets","","Allen Crabbe","sore left ankle / knee (DTD)"
"9144","2017-12-17","76ers","","Trevor Booker","sprained left ankle (DTD)"
"9145","2017-12-17","Heat","","James Johnson","right ankle injury (DTD)"
"9157","2017-12-18","Heat","","James Johnson","bursitis in right ankle (DTD)"
"9162","2017-12-19","Lakers","","Brook Lopez","sprained right ankle (DTD)"
"9178","2017-12-22","Hawks","","Dennis Schroder","left ankle injury (DTD)"
"9179","2017-12-22","Magic","","Jonathan Isaac","sore right ankle (DTD)"
"9184","2017-12-23","Heat","","Dion Waiters","sprained left ankle (DTD)"
"9197","2017-12-26","Heat","","James Johnson","bursitis in right ankle (DTD)"
"9202","2017-12-27","Pistons","","Reggie Jackson ","sprained right ankle (out indefinitely)"
"9213","2017-12-30","Blazers","","Meyers Leonard","ankle injury (DTD)"
"9252","2018-01-08","Nets","","Nik Stauskas","ankle injury (DTD)"
"9259","2018-01-10","Jazz","","Derrick Favors","sprained right ankle (DTD)"
"9262","2018-01-10","Pelicans","","Anthony Davis","sprained right ankle (DTD)"
"9264","2018-01-10","Warriors","","Stephen Curry","sprained right ankle (DTD)"
"9267","2018-01-11","Clippers","","C.J. Williams","sprained right ankle (DTD)"
"9269","2018-01-11","Spurs","","Tony Parker","sprained right ankle (DTD)"
"9275","2018-01-12","Heat","","Dion Waiters","surgery on left ankle (out indefinitely) (date approximate)"
"9281","2018-01-13","Clippers","","DeAndre Jordan","sprained left ankle (DTD)"
"9289","2018-01-15","Lakers","","Brandon Ingram","sprained left ankle/knee (DTD)"
"9306","2018-01-19","Lakers","","Brandon Ingram","sprained left ankle (DTD)"
"9308","2018-01-19","Warriors","","Jordan Bell","left ankle injury (out indefinitely)"
"9319","2018-01-21","Grizzlies","","JaMychal Green","right ankle injury (DTD)"
"9337","2018-01-24","Suns","","Alex Len","sore right ankle (DTD)"
"9350","2018-01-26","Celtics","","Guerschon Yabusele","ankle injury (DTD)"
"9362","2018-01-28","Kings","","Garrett Temple","sprained right ankle (DTD)"
"9363","2018-01-28","Kings","","Malachi Richardson","sprained left ankle (DTD)"
"9373","2018-01-30","Hornets","","Marvin Williams","sprained left ankle (DTD)"
"9384","2018-01-31","Suns","","Isaiah Canaan","fractured left ankle (out indefinitely)"
"9400","2018-02-04","Hawks","","Tyler Cavanaugh","sprained right ankle (DTD)"
"9401","2018-02-05","Bucks","","Matthew Dellavedova","sprained right ankle (DTD)"
"9417","2018-02-07","Rockets","","Ryan Anderson","sprained right ankle (DTD)"
"9421","2018-02-08","Mavericks","","Johnathan Motley","sprained left ankle (DTD)"
"9430","2018-02-09","Spurs","","Dejounte Murray","sprained left ankle (DTD)"
"9449","2018-02-14","76ers","","Joel Embiid","sore right ankle (DTD)"
"9466","2018-02-22","Hawks","","Antonius Cleveland","left ankle injury (DTD)"
"9468","2018-02-23","Jazz","","Raul Neto","sprained right ankle (DTD)"
"9483","2018-02-27","Grizzlies","","Deyonta Davis","left ankle injury (DTD)"
"9506","2018-03-04","Cavaliers","","Tristan Thompson","sprained right ankle (DTD)"
"9509","2018-03-04","Pelicans","","Emeka Okafor","sprained right ankle (DTD)"
"9515","2018-03-05","Hawks","","Malcolm Delaney","sprained left ankle (out for season)"
"9524","2018-03-07","Warriors","","Jordan Bell","sprained right ankle (DTD)"
"9532","2018-03-09","Pelicans","","Anthony Davis","sprained left ankle (DTD)"
"9533","2018-03-09","Pistons","","Dwight Buycks","sprained left ankle (DTD)"
"9548","2018-03-12","Hawks","","Jaylen Morris","sprained left ankle (out for season)"
"9561","2018-03-14","Lakers","","Kyle Kuzma","sprained right ankle (DTD)"
"9562","2018-03-14","Pacers","","Domas Sabonis","sprained left ankle (DTD)"
"9585","2018-03-19","Hawks","","John Collins ","sprained left ankle (DTD)"
"9593","2018-03-21","Kings","","Garrett Temple","sprained left ankle (out for season)"
"9610","2018-03-23","Timberwolves","","Derrick Rose","sprained right ankle (DTD)"
"9614","2018-03-24","Lakers","","Luol Deng","sprained left ankle (DTD)"
"9621","2018-03-25","Hawks","","Dennis Schroder","sprained left ankle (out for season)"
"9628","2018-03-27","Heat","","Bam Adebayo","sprained right ankle (DTD)"
"9638","2018-03-27","Warriors","","Chris Boucher","sprained left ankle (DTD)"
"9640","2018-03-28","76ers","","Justin Anderson","sore right ankle (DTD)"
"9642","2018-03-28","Celtics","","Al Horford","ankle injury (DTD)"
"9643","2018-03-28","Celtics","","Marcus Morris","sprained right ankle (DTD)"
"9655","2018-03-28","Suns","","Alex Len","sprained left ankle (DTD)"
"9675","2018-03-30","Suns","","Jared Dudley","sore left ankle (DTD)"
"9685","2018-04-01","Grizzlies","","MarShon Brooks","left ankle injury (DTD)"
"9686","2018-04-01","Hornets","","Dwayne Bacon","sprained right ankle (out for season)"
"9702","2018-04-03","Kings","","Skal Labissiere","sprained left ankle (out for season)"
"9705","2018-04-03","Magic","","Jonathan Isaac","sprained left ankle (out for season)"
"9715","2018-04-04","Rockets","","Ryan Anderson","sprained left ankle (DTD)"
"9719","2018-04-05","Grizzlies","","Jarell Martin","left ankle injury (out for season)"
"9720","2018-04-05","Mavericks","","Dirk Nowitzki","surgery on left ankle to remove loose debris (out for season)"
"9729","2018-04-06","Pelicans","","Ian Clark","sprained right ankle (DTD)"
"9730","2018-04-06","Suns","","Troy Daniels","sprained right ankle (DTD)"
"9733","2018-04-07","Bucks","","Shabazz Muhammad","sprained right ankle (DTD)"
"9734","2018-04-07","Knicks","","Tim Hardaway Jr.","sprained left ankle (out for season)"
"9744","2018-04-09","Clippers","","Lou Williams","sprained right ankle (out for season)"
"9745","2018-04-09","Hawks","","Malcolm Delaney","arthroscopic surgery on left ankle (out for season)"
"9747","2018-04-09","Nets","","Joe Harris","sprained left ankle (out for season)"
"9751","2018-04-10","Suns","","Troy Daniels","sprained right ankle (DTD)"
"9755","2018-04-11","Knicks","","Courtney Lee","sprained left ankle (out for season)"
"9759","2018-04-11","Rockets","","Eric Gordon","ankle injury / rest (DTD)"
"9789","2018-10-16","Hawks","","Dewayne Dedmon","left ankle injury (DTD)"
"9791","2018-10-16","Knicks","","Emmanuel Mudiay","sprained right ankle (DTD)"
"9792","2018-10-16","Nets","","Allen Crabbe","sprained left ankle (DTD)"
"9793","2018-10-16","Nets","","DeMarre Carroll","arthroscopic surgery on right ankle (out indefinitely)"
"9796","2018-10-16","Rockets","","Marquese Chriss","sprained left ankle (DTD)"
"9803","2018-10-17","Heat","","Wayne Ellington","sore left ankle (DTD)"
"9807","2018-10-17","Mavericks","","Dirk Nowitzki","surgery on left ankle (out indefinitely)"
"9808","2018-10-17","Nets","","Alan Williams","ankle injury (DTD)"
"9817","2018-10-18","Bulls","","Cristiano Felicio","sprained left ankle (DTD)"
"9818","2018-10-18","Bulls","","Denzel Valentine","sprained left ankle (out indefinitely)"
"9821","2018-10-18","Pacers","","T.J. Leaf","sprained left ankle (DTD)"
"9823","2018-10-19","Hawks","","Omari Spellman","sprained left ankle (DTD)"
"9833","2018-10-21","Knicks","","Kevin Knox","sprained left ankle (DTD)"
"9841","2018-10-23","Nets","","Rodions Kurucs","sprained left ankle (DTD)"
"9852","2018-10-26","Mavericks","","Dennis Smith Jr.","sprained right ankle (DTD)"
"9863","2018-10-28","Pelicans","","Elfrid Payton","sprained right ankle (DTD)"
"9871","2018-10-31","Suns","","Isaiah Canaan","left ankle injury (DTD)"
"9876","2018-11-01","Kings","","Troy Williams","sore right ankle (DTD)"
"9883","2018-11-03","Pistons","","Reggie Bullock","left ankle injury (DTD)"
"9886","2018-11-04","Jazz","","Donovan Mitchell","sprained left ankle (DTD)"
"9889","2018-11-04","Timberwolves","","Derrick Rose","sore left ankle (DTD)"
"9899","2018-11-06","Cavaliers","","Sam Dekker","sprained left ankle (out indefinitely)"
"9902","2018-11-06","Thunder","","Russell Westbrook","sprained left ankle (DTD)"
"9918","2018-11-10","Spurs","","Jakob Poeltl","sprained right ankle (DTD)"
"9924","2018-11-12","Hornets","","Michael Kidd-Gilchrist","sprained right ankle (DTD)"
"9945","2018-11-16","Nets","","Rondae Hollis-Jefferson","sprained right ankle (DTD)"
"9956","2018-11-19","Bulls","","Denzel Valentine","surgery on left ankle (out for season)"
"9966","2018-11-21","Hornets","","Willy Hernangomez","sprained right ankle (DTD)"
"9969","2018-11-22","Thunder","","Hamidou Diallo","sprained left ankle (out indefinitely)"
"9978","2018-11-24","Nuggets","","Gary Harris","sore left ankle (DTD)"
"9985","2018-11-26","Rockets","","Gerald Green ","sore right ankle (DTD)"
"9986","2018-11-26","Rockets","","Qi Zhou","sprained left ankle (DTD)"
"9990","2018-11-28","Hawks","","Jeremy Lin","sprained left ankle (DTD)"
"9994","2018-11-28","Cavaliers","","Sam Dekker","sprained left ankle (DTD)"
"10027","2018-12-04","Hawks","","Taurean Prince","left ankle injury (out indefinitely)"
"10031","2018-12-04","Pistons","","Reggie Bullock","sprained left ankle (DTD)"
"10039","2018-12-06","Lakers","","Brandon Ingram","sprained left ankle (DTD)"
"10044","2018-12-07","Rockets","","Marquese Chriss","sprained left ankle (DTD)"
"10065","2018-12-10","Celtics","","Aron Baynes","sprained left ankle (DTD)"
"10068","2018-12-11","Pelicans","","Nikola Mirotic","right ankle injury (DTD)"
"10069","2018-12-11","Pistons","","Glenn Robinson III","sprained left ankle (DTD)"
"10070","2018-12-11","Pistons","","Henry Ellenson","sprained left ankle (DTD)"
"10096","2018-12-15","Knicks","","Mitchell Robinson","left ankle, groin injury (DTD)"
"10105","2018-12-17","Timberwolves","","Jeff Teague","left ankle injury (DTD)"
"10108","2018-12-18","Pelicans","","Julius Randle","sprained right ankle (DTD)"
"10116","2018-12-19","Pelicans","","Ian Clark","sprained right ankle (DTD)"
"10120","2018-12-20","Bulls","","Bobby Portis","sprained right ankle (out indefinitely)"
"10122","2018-12-20","Heat","","Justise Winslow","right ankle injury (DTD)"
"10141","2018-12-24","Jazz","","Grayson Allen","sprained right ankle (DTD)"
"10142","2018-12-25","Cavaliers","","David Nwaba","sprained left ankle (DTD)"
"10149","2018-12-26","Raptors","","Chris Boucher","sprained left ankle (DTD)"
"10163","2018-12-29","Pelicans","","Cheick Diallo","sprained right ankle (DTD)"
"10167","2018-12-30","Hawks","","Kent Bazemore","sprained right ankle (out indefinitely)"
"10176","2018-12-31","Magic","","D.J. Augustine","sprained right ankle (DTD)"
"10208","2019-01-06","Knicks","","Frank Ntilikina","sprained left ankle (DTD)"
"10218","2019-01-08","Bucks","","Christian Wood","sprained right ankle (DTD)"
"10224","2019-01-08","Timberwolves","","Derrick Rose","sprained right ankle (DTD)"
"10246","2019-01-13","Grizzlies","","Kyle Anderson","sprained left ankle (DTD)"
"10247","2019-01-13","Hawks","","Dewayne Dedmon","sprained left ankle (DTD)"
"10270","2019-01-18","Spurs","","DeMar DeRozan","sore left ankle (DTD)"
"10276","2019-01-19","Pistons","","Henry Ellenson","sprained left ankle (DTD)"
"10286","2019-01-22","Knicks","","Luke Kornet","sprained left ankle (out indefinitely)"
"10293","2019-01-24","Pelicans","","Julius Randle","sprained right ankle (DTD)"
"10302","2019-01-25","Timberwolves","","Derrick Rose","sore right ankle (DTD)"
"10314","2019-01-29","Pelicans","","Elfrid Payton","sprained right ankle (DTD)"
"10315","2019-01-29","Thunder","","Steven Adams","sprained right ankle (DTD)"
"10320","2019-01-30","Bulls","","Zach LaVine","sprained right ankle (DTD)"
"10326","2019-01-31","Mavericks","","Luka Doncic","sore left ankle (DTD)"
"10339","2019-02-02","Spurs","","Dante Cunningham","sore right ankle (DTD)"
"10348","2019-02-04","Nuggets","","Paul Millsap","sore right ankle (DTD)"
"10350","2019-02-04","Timberwolves","","Derrick Rose","sore right ankle (DTD)"
"10367","2019-02-09","Grizzlies","","Yuta Watanabe","ankle injury (DTD)"
"10371","2019-02-09","Spurs","","Rudy Gay","sprained left ankle (DTD)"
"10374","2019-02-10","Thunder","","Jerami Grant","sprained right ankle (DTD)"
"10411","2019-02-26","Pacers","","Domas Sabonis","sprained left ankle (DTD)"
"10441","2019-03-05","Lakers","","Kyle Kuzma","sprained right ankle (DTD)"
"10473","2019-03-12","Clippers","","Danilo Gallinari","sore left ankle (DTD)"
"10476","2019-03-12","Warriors","","Kevin Durant","sprained right ankle (DTD)"
"10498","2019-03-19","Bucks","","Giannis Antetokounmpo","sprained right ankle (DTD)"
"10516","2019-03-22","Celtics","","Aron Baynes","sprained left ankle (DTD)"
"10526","2019-03-24","Lakers","","Mike Muscala","sore right ankle (DTD)"
"10527","2019-03-25","Bucks","","Tony Snell","sprained left ankle (DTD)"
"10544","2019-03-28","Bucks","","Tony Snell","sprained left ankle (DTD)"
"10550","2019-03-30","Hawks","","Dewayne Dedmon","sore left ankle (out for season)"
"10554","2019-03-31","Bucks","","Giannis Antetokounmpo","sprained right ankle (DTD)"
"10556","2019-03-31","Grizzlies","","Mike Conley Jr.","sore left ankle (out for season)"
"10561","2019-03-31","Suns","","Deandre Ayton","sprained left ankle (out for season)"
"10564","2019-04-01","Grizzlies","","Jonas Valanciunas","sprained right ankle (out for season)"
"10577","2019-04-04","Suns","","Devin Booker","sprained left ankle (out for season)"
"10583","2019-04-05","Pelicans","","Stanley Johnson","left ankle injury (out for season)"
"10585","2019-04-05","Suns","","Richaun Holmes","sprained left ankle (out for season)"
"10594","2019-04-07","Clippers","","Danilo Gallinari","sore left ankle (DTD)"
"10598","2019-04-07","Timberwolves","","Jerryd Bayless","right ankle injury (DTD)"
"10603","2019-04-08","Celtics","","Aron Baynes","sore left ankle (DTD)"
"10604","2019-04-08","Celtics","","Gordon Hayward","sore left ankle (DTD)"
"10636","2019-04-19","Nets","","Ed Davis ","right ankle injury (DTD)"
"10641","2019-05-08","Bucks","","D.J. Wilson","sprained left ankle (DTD)"
"10647","2019-05-19","Bucks","","D.J. Wilson","sore left ankle (DTD)"
"10659","2019-10-21","Clippers","","Amir Coffey","sprained right ankle (DTD)"
"10660","2019-10-21","Clippers","","Rodney McGruder","sprained right ankle (DTD)"
"10661","2019-10-21","Lakers","","Kyle Kuzma","stress reaction in left ankle/foot (out indefinitely)"
"10675","2019-10-22","Suns","","Ty Jerome","sprained right ankle (out indefinitely)"
"10684","2019-10-23","Rockets","","Michael Frazier II","sprained right ankle (DTD)"
"10691","2019-10-24","Warriors","","Alen Smailagic","sprained right ankle (DTD)"
"10704","2019-10-31","Pacers","","Myles Turner","sprained right ankle (out indefinitely)"
"10714","2019-11-02","Warriors","","D'Angelo Russell","sprained right ankle (DTD)"
"10716","2019-11-03","Grizzlies","","Grayson Allen","sore left ankle (DTD)"
"10738","2019-11-09","Raptors","","Serge Ibaka","sprained right ankle (DTD)"
"10744","2019-11-11","Kings","","De'Aaron Fox","sprained left ankle (DTD)"
"10747","2019-11-11","Warriors","","Omari Spellman","sprained left ankle (DTD)"
"10751","2019-11-12","Clippers","","Landry Shamet","sprained left ankle (DTD)"
"10752","2019-11-12","Heat","","Tyler Herro","sprained left ankle (DTD)"
