"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"4314","201512150LAL","91.7","0.494","10.5","26.1","0.129","103.6","91.7","0.517","12.3","40.9","0.236","123.2"
"4315","201512160IND","95.1","0.411","10.4","20.8","0.078","85.2","95.1","0.545","7.7","12.2","0.112","112.5"
"4316","201512160ORL","94.3","0.544","15.7","16.3","0.152","103.9","94.3","0.649","16.9","13.3","0.169","119.8"
"4317","201512160BRK","88.7","0.58","12.3","24.2","0.227","117.2","88.7","0.494","5.9","21.3","0.112","110.5"
"4318","201512160DET","101.4","0.539","15.3","25.6","0.225","114.4","101.4","0.558","10.2","17.1","0.41","117.3"
"4319","201512160NYK","95.1","0.436","6.1","30.8","0.139","107.3","95.1","0.482","12.5","29.2","0.294","112.5"
"4320","201512160ATL","97.4","0.6","20.5","23.3","0.213","108.8","97.4","0.679","11.9","7.4","0.269","130.4"
"4321","201512160CHI","95.9","0.454","12.8","12.2","0.211","88.6","95.9","0.494","12.9","20","0.151","102.2"
"4322","201512160OKC","97.4","0.408","15.3","31.5","0.163","92.4","97.4","0.494","15.9","31.8","0.354","108.8"
"4323","201512160SAS","94.1","0.435","11.2","22.2","0.262","100.9","94.1","0.578","10.6","22.2","0.217","121.1"
"4324","201512160UTA","85.1","0.534","10.5","21.6","0.356","122.3","85.1","0.53","13.1","15.2","0.343","110.5"
"4325","201512160GSW","108.3","0.478","16.8","14.9","0.176","95.1","108.3","0.608","14.5","20.9","0.239","118.2"
"4326","201512160LAC","86.3","0.46","10.6","33.3","0.102","104.3","86.3","0.553","14.1","27.8","0.267","119.4"
"4327","201512170CHO","94.4","0.407","6.8","16.7","0.206","95","94.4","0.494","11.6","14","0.294","104.6"
"4328","201512170CLE","88.5","0.514","12.2","25.7","0.324","113","88.5","0.534","14.6","37.2","0.114","117.5"
"4329","201512170LAL","92","0.455","10.9","41.1","0.307","116.2","92","0.458","13.2","29.5","0.119","94.5"
"4330","201512180IND","94.2","0.465","11.4","19.1","0.198","103","94.2","0.455","9.9","29.8","0.258","110.4"
"4331","201512180ORL","95.7","0.514","18.4","16.7","0.26","98.2","95.7","0.476","11.7","27.1","0.262","106.6"
"4332","201512180PHI","98.1","0.506","13.4","30.4","0.247","109.1","98.1","0.519","14.3","10.3","0.221","98.9"
"4333","201512180BOS","102.5","0.489","10.6","19.6","0.261","106.3","102.5","0.506","18.8","15.4","0.299","98.5"
"4334","201512180CHI","92.2","0.484","7.1","31.1","0.218","112.5","92.2","0.438","10.3","30.8","0.325","110.2"
"4335","201512180MIA","89","0.563","7.2","16.7","0.225","121.3","89","0.534","13.8","11.1","0.203","105.6"
"4336","201512180MIN","90.1","0.512","11.9","18.6","0.148","105.4","90.1","0.512","16.8","37.8","0.183","109.9"
"4337","201512180SAS","92.7","0.569","10","15","0.347","115.5","92.7","0.552","7.6","24.4","0.218","124.1"
"4338","201512180DAL","91.6","0.413","11.7","20.4","0.275","96.1","91.6","0.5","17.9","27.5","0.244","105.9"
"4339","201512180UTA","89.1","0.43","13.5","30.6","0.253","98.8","89.1","0.534","14.3","14.7","0.26","108.9"
"4340","201512180GSW","100.7","0.484","13.4","31.1","0.264","111.2","100.7","0.534","12.7","35.7","0.322","120.1"
"4341","201512180PHO","96.1","0.394","19.3","23.3","0.451","91.5","96.1","0.56","17.2","31.6","0.119","108.2"
"4342","201512190OKC","96.5","0.395","13","15.4","0.116","80.8","96.5","0.601","13.6","33.3","0.202","122.3"
"4343","201512190WAS","96.4","0.473","14.5","35.3","0.14","104.8","96.4","0.563","13.6","13.2","0.253","113.1"
"4344","201512190NYK","91.8","0.42","11.4","35.3","0.128","99.1","91.8","0.53","10.6","25.6","0.244","116.5"
"4345","201512190HOU","99.5","0.459","10.8","14.3","0.209","97.5","99.5","0.5","13.3","29.5","0.408","107.6"
"4346","201512190MEM","90.3","0.422","16.2","26","0.247","93.1","90.3","0.476","8.9","22","0.205","106.4"
"4347","201512200BRK","94.1","0.494","12.6","17.5","0.263","106.3","94.1","0.442","13.9","13.3","0.205","90.3"
"4348","201512200MIA","93.5","0.569","17.5","28.6","0.225","116.6","93.5","0.653","11.3","13.5","0.24","124"
"4349","201512200CLE","96.9","0.378","16.1","32","0.244","88.7","96.9","0.535","9.6","15.4","0.2","111.4"
"4350","201512200PHO","95.9","0.551","12.7","15.4","0.177","105.3","95.9","0.5","19.1","16.2","0.284","99"
"4351","201512200ORL","95.2","0.571","18","22.2","0.179","108.2","95.2","0.494","12.4","19.5","0.247","105.1"
"4352","201512200TOR","96.1","0.586","14.8","12.2","0.197","108.2","96.1","0.415","10.6","26","0.17","97.8"
"4353","201512200DEN","94.4","0.635","9.5","21.2","0.397","137.7","94.4","0.557","4.5","31","0.188","132.4"
"4354","201512210WAS","97.4","0.445","13","27.7","0.198","101.6","97.4","0.59","10.8","10.8","0.181","116"
"4355","201512210BOS","97.9","0.468","11.4","13.6","0.316","101.1","97.9","0.584","14.3","28.6","0.101","115.4"
"4356","201512210NYK","88.4","0.57","9","21.1","0.105","121","88.4","0.559","15.3","26.5","0.184","112"
"4357","201512210ATL","94.4","0.5","16.6","32.6","0.198","102.8","94.4","0.539","10.1","5.3","0.299","112.3"
"4358","201512210CHI","96.1","0.495","12.3","33.3","0.128","109.2","96.1","0.5","11.4","29.4","0.074","106.1"
"4359","201512210HOU","95.9","0.422","10.2","18.4","0.301","99.1","95.9","0.514","17.6","25.7","0.408","106.4"
"4360","201512210SAS","94.9","0.461","12.7","25.5","0.1","97","94.9","0.551","8.8","16.7","0.09","111.7"
"4361","201512210UTA","91.1","0.437","12.8","20","0.253","97.7","91.1","0.513","9.5","26.2","0.367","120.7"
"4362","201512210LAC","93.9","0.494","10.5","22.2","0.188","106.5","93.9","0.511","12.2","22.7","0.115","105.5"
"4363","201512220PHI","95.4","0.5","11.2","22","0.224","109.1","95.4","0.523","24.5","27","0.318","94.4"
"4364","201512220MIA","85.1","0.545","16","29.3","0.103","109.3","85.1","0.466","5.1","26.2","0.114","108.1"
"4365","201512220TOR","94.5","0.495","5.8","8.5","0.087","104.7","94.5","0.554","16.5","25","0.284","109"
"4366","201512220DEN","94.4","0.518","10.1","26.2","0.286","117.6","94.4","0.506","10.9","31","0.178","113.3"
"4367","201512230CHO","96.3","0.465","11.9","23.8","0.271","105.9","96.3","0.407","14.4","23.5","0.284","92.4"
"4368","201512230CLE","86.3","0.421","11","20.9","0.183","97.3","86.3","0.416","6.9","28.6","0.265","105.4"
"4369","201512230IND","102.9","0.539","14.3","15.8","0.135","104.9","102.9","0.528","10.1","12.2","0.135","103"
"4370","201512230ORL","89.7","0.536","10.8","22.5","0.145","112.5","89.7","0.565","11.8","28.9","0.107","115.9"
"4371","201512230WAS","87.9","0.479","8.5","15.8","0.306","103.6","87.9","0.518","13.4","29.3","0.183","113.8"
"4372","201512230BRK","89.8","0.646","16.1","15.2","0.159","120","89.8","0.554","9.3","34.1","0.059","119"
"4373","201512230ATL","99.5","0.466","11.9","28.9","0.191","100.5","99.5","0.517","11.7","23.3","0.169","107.5"
"4374","201512230MIL","99.4","0.5","19","31","0.235","100.6","99.4","0.629","15.3","15.2","0.071","113.7"
"4375","201512230MIN","86.7","0.598","14.5","37.8","0.122","124.5","86.7","0.438","13.5","19.5","0.278","95.7"
"4376","201512230NOP","95.5","0.384","11","34.9","0.168","93.2","95.5","0.559","10.4","18.2","0.235","120.4"
"4377","201512230PHO","97.6","0.538","14.9","27.7","0.066","106.6","97.6","0.489","14.5","24.5","0.126","98.4"
"4378","201512230GSW","91.8","0.456","18.1","27.9","0.15","92.6","91.8","0.524","14.3","24.3","0.193","112.3"
"4379","201512230LAL","94.9","0.563","12.8","45.2","0.137","126.5","94.9","0.399","9.2","22.2","0.157","89.6"
"4380","201512250MIA","93.7","0.433","15.2","13.2","0.111","85.1","93.7","0.432","14.5","22.4","0.205","90.9"
"4381","201512250OKC","97.1","0.473","13.7","34.8","0.196","108.1","97.1","0.417","10.9","32.7","0.167","98.9"
"4382","201512250GSW","95.9","0.342","9.4","29.3","0.189","86.5","95.9","0.442","15.1","17.4","0.256","92.8"
"4383","201512250HOU","91.3","0.438","14.1","29.2","0.08","92","91.3","0.48","16.6","19.5","0.23","96.4"
"4384","201512250LAL","95.6","0.506","15.1","19","0.094","98.4","95.6","0.461","14.6","14","0.169","87.9"
"4385","201512260BRK","97.1","0.571","10.5","17.1","0.179","114.4","97.1","0.511","16.5","33.3","0.056","98.9"
"4386","201512260MIL","88.8","0.599","8.2","23.7","0.173","125","88.8","0.457","12.8","20.5","0.198","101.3"
"4387","201512260CHO","91.9","0.45","11.6","30.8","0.122","100.1","91.9","0.507","16.1","17.9","0.406","106.6"
"4388","201512260NOP","90.5","0.542","9.7","23.8","0.202","119.3","90.5","0.593","14.8","24.2","0.28","121.5"
"4389","201512260ORL","83.6","0.558","8.4","26.5","0.286","129.2","83.6","0.601","9.6","23.7","0.076","120.8"
"4390","201512260ATL","94.6","0.525","19.9","30.8","0.16","103.6","94.6","0.58","8.6","25","0.17","123.7"
"4391","201512260DET","95.6","0.488","12.9","25","0.202","103.6","95.6","0.418","12.8","33.3","0.187","97.3"
"4392","201512260MIN","93.5","0.556","19.6","29.4","0.163","109","93.5","0.493","20.2","23.7","0.187","94.1"
"4393","201512260DAL","91.7","0.59","16","33.3","0.244","121","91.7","0.552","10","36.4","0.253","128.6"
"4394","201512260SAS","89.9","0.471","14.5","20.5","0.058","95.6","89.9","0.525","11.1","26.3","0.198","112.3"
"4395","201512260PHO","101.8","0.557","18.8","21.6","0.291","109","101.8","0.443","12","23.1","0.295","102.2"
"4396","201512260UTA","91.7","0.563","11.8","20","0.253","118.9","91.7","0.554","15.7","22.9","0.297","113.5"
"4397","201512260POR","91.4","0.435","16.9","18.8","0.117","83.1","91.4","0.511","7.6","23.3","0.157","114.9"
"4398","201512270MEM","90.9","0.429","11.7","34.6","0.286","105.6","90.9","0.6","10","20","0.2","123.2"
"4399","201512270BOS","94.9","0.393","11.5","25","0.236","95.9","94.9","0.471","9.3","25.5","0.235","105.4"
"4400","201512270OKC","91","0.537","9","36.2","0.117","123","91","0.627","13.2","39.4","0.217","134"
"4401","201512270SAC","101.5","0.467","15.4","28","0.13","96.6","101.5","0.454","19.7","15.6","0.329","92.6"
"4402","201512280CHO","98.8","0.465","10.4","13.3","0.224","99.2","98.8","0.517","9.2","16.7","0.18","109.3"
"4403","201512280IND","95","0.459","19","21.6","0.257","91.6","95","0.477","12.9","23.4","0.115","97.9"
"4404","201512280ORL","90.8","0.476","12.7","23.3","0.12","98","90.8","0.591","9.4","11.1","0.085","114.6"
"4405","201512280WAS","98.8","0.571","15.2","8.6","0.244","109.4","98.8","0.431","14.1","27.7","0.184","92.1"
